,pubchem id,common name,flavor profile
0,4,1-Aminopropan-2-ol,{'fishy'}
1,49,3-Methyl-2-oxobutanoic acid,{'fruity'}
2,58,2-oxobutanoic acid,"{'brown', 'creamy', 'sweet', 'lactonic', 'caramel'}"
3,70,4-Methyl-2-oxovaleric acid,{'fruity'}
4,72,"3,4-Dihydroxybenzoic Acid","{'phenolic', 'balsamic', 'mild'}"
5,107,3-Phenylpropanoic acid,"{'fatty', 'cinnamon', 'sweet', 'balsamic', 'rose', 'musk'}"
6,125,4-hydroxybenzyl alcohol,"{'fruity', 'sweet', 'almond', 'coconut', 'bitter'}"
7,126,4-hydroxybenzaldehyde,"{'woody', 'nutty', 'balsam', 'sweet', 'almond'}"
8,135,4-Hydroxybenzoic Acid,"{'phenolic', 'nutty'}"
9,176,acetic acid,"{'vinegar', 'pungent', 'sharp', 'sour'}"
10,177,acetaldehyde,"{'fruity', 'whiskey', 'pungent', 'aldehydic', 'ethereal', 'ether'}"
11,178,acetamide,{'mousy'}
12,179,acetoin,"{'fatty', 'creamy', 'sweet', 'dairy', 'butter', 'cream', 'buttery', 'milky'}"
13,180,acetone,"{'apple', 'solvent', 'ethereal', 'pear'}"
14,196,adipic acid,{'odorless'}
15,240,benzaldehyde,"{'strong', 'sharp', 'burnt sugar', 'sweet', 'almond', 'bitter', 'cherry'}"
16,243,benzoic acid,"{'urine', 'balsam', 'faint'}"
17,244,benzyl alcohol,"{'berry', 'sweet', 'flower', 'balsamic', 'floral', 'rose', 'walnut', 'grapefruit', 'phenolic', 'cherry'}"
18,247,betaine,{'bland'}
19,261,butyraldehyde,"{'floral', 'malty', 'pungent', 'apple', 'earthy', 'pear', 'bready', 'fatty', 'woody', 'citrus', 'chocolate', 'creamy', 'vegetable', 'meaty', 'herbaceous', 'musty', 'nutty', 'fruity', 'cocoa', 'spicy', 'green', 'wine_like'}"
20,262,"2,3-butanediol","{'fruit', 'fruity', 'creamy', 'onion', 'buttery'}"
21,263,1-butanol,"{'fruit', 'balsam', 'sweet', 'medicinal', 'vanilla', 'oil', 'medicine', 'fusel'}"
22,264,butyric acid,"{'fruit', 'sharp', 'rancid', 'sweat', 'cheese', 'butter', 'acetic'}"
23,284,formic acid,"{'vinegar', 'pungent', 'formyl'}"
24,309,Aconitic Acid,"{'nutty', 'musty', 'very mild'}"
25,311,citric acid,{'odorless'}
26,313,hydrochloric acid,{''}
27,323,coumarin,"{'new mown hay', 'sweet', 'green', 'bitter', 'tonka'}"
28,325,4-isopropylbenzyl alcohol,"{'strong', 'spicy', 'caraway', 'cumin', 'herb', 'leather', 'wood', 'herbal'}"
29,326,4-isopropylbenzaldehyde,"{'sharp', 'oily', 'spicy', 'cumin', 'green', 'acid', 'herbal'}"
30,332,2-Methoxy-4-vinylphenol,"{'peanut', 'spicy', 'curry', 'smoky', 'clove'}"
31,335,o-cresol,"{'phenol', 'phenolic', 'medicinal', 'musty'}"
32,338,salicylic acid,"{'phenolic', 'faint', 'nutty'}"
33,342,m-cresol,"{'woody', 'plastic', 'medical', 'fecal', 'leather', 'phenolic', 'medicinal'}"
34,356,octane,"{'gasoline', 'alkane'}"
35,379,octanoic acid,"{'sweat', 'fatty', 'rancid', 'oily', 'vegetable', 'cheese', 'cheesy', 'waxy'}"
36,402,hydrogen sulfide,"{'rotten', 'egg'}"
37,454,Octanal,"{'fatty', 'soap', 'orange peel', 'waxy', 'lemon', 'aldehydic', 'green', 'citrus', 'fat'}"
38,460,guaiacol,"{'woody', 'smoke', 'sweet', 'medicinal', 'vanilla', 'medicine', 'smoky', 'phenolic', 'spice'}"
39,473,4-Methylthio-2-oxobutanoic acid,{''}
40,527,Propionaldehyde,"{'alcohol', 'nutty', 'cocoa', 'whiskey', 'pungent', 'solvent', 'wine', 'earthy'}"
41,602,Dl-Alanine,{'odorless'}
42,612,lactic acid,{'odorless'}
43,650,"2,3-butanedione","{'strong', 'oily', 'creamy', 'sweet', 'butter', 'pungent', 'caramel'}"
44,660,dihydrocoumarin,"{'cinnamon', 'creamy', 'sweet', 'almond', 'tobacco', 'coconut', 'coumarin', 'tonka', 'herbal'}"
45,674,dimethylamine,{''}
46,679,dimethyl sulfoxide,"{'fatty', 'oily', 'cheesy', 'mushroom', 'garlic', 'bitter'}"
47,702,ethanol,"{'strong', 'sweet', 'medical', 'ethereal', 'alcoholic'}"
48,743,Glutaric Acid,{'odorless'}
49,753,glycerol,"{'odorless', 'sweet'}"
50,768,hydrogen cyanide,{'bitter'}
51,784,hydrogen peroxide,{'bitter'}
52,785,hydroquinone,{''}
53,798,indole,"{'fishy', 'jasmine', 'burnt', 'naphthelene', 'floral', 'fecal', 'moth ball', 'mothball', 'honey', 'animal'}"
54,802,indole-3-acetic acid,"{'odorless', 'mild', 'sour'}"
55,875,DL-Tartaric acid,"{'caramellic', 'very mild'}"
56,876,Dl-Methionine,"{'acidic', 'mild', 'sulfurous'}"
57,878,methanethiol,"{'gasoline', 'decomposing cabbage', 'garlic', 'sulfur'}"
58,880,methylglyoxal,"{'rum', 'brown', 'sweet', 'acidic', 'ethereal'}"
59,887,methanol,{'alcoholic'}
60,931,naphthalene,"{'tar', 'tarry', 'dry', 'pungent'}"
61,957,1-octanol,"{'metal', 'burnt', 'green', 'rose', 'waxy', 'chemical', 'mushroom', 'aldehydic', 'orange'}"
62,964,3-Hydroxypyruvic acid,"{'radish', 'cabbage', 'sour'}"
63,971,oxalic acid,{''}
64,985,palmitic acid,"{'fatty', 'slightly waxy'}"
65,994,Dl-Phenylalanine,{'odorless'}
66,996,phenol,"{'rubber', 'phenol', 'phenolic', 'plastic'}"
67,998,phenylacetaldehyde,"{'clover', 'hawthorne', 'peanut', 'cocoa', 'sweet', 'floral', 'hyacinth', 'grapefruit', 'green', 'bitter', 'honey'}"
68,999,Phenylacetic Acid,"{'sour', 'honeysuckle', 'civet', 'sweet', 'flower', 'floral', 'waxy', 'honey'}"
69,1001,Phenethylamine,"{'fishy', 'ammoniacal'}"
70,1030,"1,2-propanediol","{'odorless', 'alcoholic', 'very slight'}"
71,1031,1-propanol,"{'fermented', 'alcohol', 'peanut', 'pungent', 'musty', 'alcoholic', 'fusel'}"
72,1032,propionic acid,"{'rancid', 'soy', 'cheesy', 'vinegar', 'pungent', 'acidic'}"
73,1049,Pyridine,"{'fishy', 'rancid', 'sour', 'amine', 'putrid', 'sickening'}"
74,1060,Pyruvic acid,"{'acetic', 'sharp', 'caramellic', 'sour'}"
75,1068,dimethyl sulfide,"{'sulfury', 'sulfur', 'gasoline', 'vegetable', 'wild', 'tomato', 'cabbage', 'sweet corn', 'onion', 'radish', 'green', 'sulfurous'}"
76,1103,spermine,{''}
77,1110,succinic acid,"{'odorless', 'sour'}"
78,1119,sulfur dioxide,{'bitter'}
79,1123,taurine,"{'bitter', 'bland'}"
80,1130,thiamine,{'bitter'}
81,1136,4-Methyl-5-Thiazoleethanol,"{'fatty', 'sulfur', 'cooked beef juice'}"
82,1140,toluene,"{'sweet', 'paint'}"
83,1146,trimethylamine,"{'fishy', 'rancid', 'oily', 'fruity', 'sweaty', 'fish'}"
84,1182,DL-Valine,{'odorless'}
85,1183,vanillin,"{'creamy', 'sweet', 'chocolate', 'vanilla'}"
86,1213,"4a(2H)-Naphthol, octahydro-4,8a-dimethyl-","{'earth', 'fresh', 'soil', 'beet', 'musty', 'earthy'}"
87,1491,"2,4-dihydroxybenzoic acid","{'phenolic', 'mild'}"
88,1889,DL-Liquiritigenin,{'bitter'}
89,2214,Acetovanillone,"{'vanilla', 'sweet', 'faint', 'vanillin'}"
90,2345,Benzyl Benzoate,"{'strawberry', 'oily', 'balsam', 'sweet', 'cheese', 'almond', 'balsamic', 'herb', 'pineapple', 'oil', 'faint', 'cherry', 'herbal'}"
91,2346,benzyl isothiocyanate,"{'dusty', 'watercress', 'oily', 'horseradish', 'mild', 'medicinal'}"
92,2519,caffeine,"{'odorless', 'bitter'}"
93,2682,1-Hexadecanol,"{'flower', 'waxy', 'floral', 'wax'}"
94,2757,Cinchonidine,{'bitter'}
95,2758,Eucalyptol,"{'sweet', 'pepper', 'eucalyptus', 'camphor', 'mint', 'herbal'}"
96,2879,P-Cresol,"{'smoke', 'phenol', 'narcissus', 'mimosa', 'medicine', 'animal', 'phenolic', 'medicinal'}"
97,2969,Decanoic acid,"{'fatty', 'rancid', 'sour', 'unpleasant', 'citrus', 'fat'}"
98,2998,Nonivamide,"{'odorless', 'bland'}"
99,3026,dibutyl phthalate,{'faint'}
100,3102,Benzophenone,"{'balsam', 'apricot', 'geranium', 'rose', 'powdery', 'metallic', 'peach'}"
101,3314,eugenol,"{'woody', 'cinnamon', 'spicy', 'sweet', 'honey', 'clove'}"
102,3473,gingerol,{'pungent'}
103,3776,isopropanol,"{'bitter', 'woody', 'alcohol', 'musty'}"
104,3879,lanatoside C,"{'fatty', 'metallic'}"
105,3893,lauric acid,"{'fatty', 'bay oil', 'metal', 'coconut', 'mild'}"
106,4114,methoxsalen,{'bitter'}
107,4133,methyl salicylate,"{'peppermint', 'wintergreen', 'mint'}"
108,4276,Myristicin,"{'woody', 'balsam', 'warm', 'balsamic', 'spice'}"
109,4453,"1-(4-{[4,5-dihydroxy-6-(hydroxymethyl)-3-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]oxan-2-yl]oxy}-2,6-dihydroxyphenyl)-3-(3-hydroxy-4-methoxyphenyl)propan-1-one","{'bland', 'sweet-like'}"
110,4650,p-benzoquinone,{''}
111,4680,papaverine,{'bitter'}
112,4788,phloretin,"{'odorless', 'bitter'}"
113,4947,propyl gallate,"{'bitter', 'bland'}"
114,5054,resorcinol,"{'nutty', 'creamy', 'hawthorn', 'musty', 'phenolic'}"
115,5144,safrole,"{'woody', 'sassafrass', 'warm', 'spicy', 'sweet', 'floral', 'anise', 'spice'}"
116,5281,stearic acid,"{'odorless', 'fatty', 'mild'}"
117,5429,theobromine,{'bitter'}
118,5541,triacetin,"{'fruity', 'mild', 'bitter', 'tropical', 'clean'}"
119,5610,tyramine,"{'cooked', 'dirty', 'meaty', 'mild', 'phenolic', 'rubbery'}"
120,5634,10-Undecenoic Acid,"{'woody', 'sweet'}"
121,5780,D-Sorbitol,"{'odorless', 'caramel', 'sweet'}"
122,5862,L-cysteine,{'sulfury'}
123,5960,L-aspartic acid,{'odorless'}
124,5962,L-lysine,{'odorless'}
125,5971,Allyl Isothiocyanate,"{'mustard', 'strong', 'sulfur', 'pungent', 'garlic', 'bitter'}"
126,6050,Tributyrin,"{'fatty', 'creamy', 'cheese', 'waxy', 'bitter'}"
127,6054,2-Phenylethanol,"{'rose dried', 'bitter', 'rose water', 'floral', 'rose', 'lilac', 'honey', 'rose flower', 'spice'}"
128,6072,Phlorizin,{'bitter'}
129,6140,L-phenylalanine,"{'odorless', 'bitter'}"
130,6184,Hexanal,"{'fatty', 'fruity', 'green', 'fresh', 'leafy', 'grass', 'aldehydic', 'tallow', 'fat', 'sweaty'}"
131,6202,Thiamine Hydrochloride,"{'bitter', 'mild', 'sour'}"
132,6213,Dimethyl sulfone,"{'sulfur', 'burnt', 'sulfurous'}"
133,6251,D-mannitol,"{'odorless', 'sweet'}"
134,6274,L-histidine,"{'odorless', 'bitter'}"
135,6276,1-Pentanol,"{'balsam', 'sweet', 'balsamic', 'oil', 'vanilla', 'fusel'}"
136,6322,L-arginine,{'faint'}
137,6341,Ethanamine,"{'fishy', 'ammonia'}"
138,6343,Ethanethiol,"{'fruity', 'sulfurous'}"
139,6344,Dichloromethane,{''}
140,6354,Oxirane,{''}
141,6363,Isopropylamine,"{'fishy', 'ammoniacal'}"
142,6364,2-Propanethiol,"{'strong', 'gassy', 'meaty', 'onion', 'ripe', 'sulfurous'}"
143,6405,2-Methyl-2-Butanol,{'pungent'}
144,6448,Bornyl Acetate,"{'woody', 'pine needle', 'cedar', 'sweet', 'balsamic', 'fresh', 'spice', 'camphor', 'pine', 'herbal'}"
145,6493,3-Methyl-3-Pentanol,"{'leafy', 'powerful', 'fruity', 'green'}"
146,6506,Triethyl Citrate,"{'fruity', 'mild', 'bitter', 'odorless', 'wine'}"
147,6532,Linalyl isobutyrate,"{'woody', 'fruity', 'light', 'lavender', 'bergamot'}"
148,6544,Isophorone,"{'cooling', 'woody', 'fruity', 'tobacco', 'sweet', 'leather', 'camphoraceous', 'cedarwood', 'musty', 'green', 'camphor'}"
149,6548,Tetrahydrolinalool,"{'woody', 'oily', 'bois de rose', 'lily', 'floral', 'lilac', 'tea'}"
