alias_norm,alias_raw
abiyuch,abiyuch
acerola,acerola
achilleas,achilleas
akutaq,akutaq
alaska blackfish,alaska blackfish
alaska pollock,alaska pollock
alaska wild rhubarb,alaska wild rhubarb
allium,allium
alpine sweetvetch,alpine sweetvetch
alpinia,alpinia
american butterfish,american butterfish
american pokeweed,american pokeweed
american shad,american shad
anatidae,anatidae
anguilliformes,anguilliformes
anise brandy,anise brandy
annual wild rice,annual wild rice
arabica coffee,arabica coffee
arar,arar
arepa,arepa
armagnac brandy,armagnac brandy
arrowhead,arrowhead
artemisia,artemisia
ascidians,ascidians
ashgourd,ashgourd
atlantic croaker,atlantic croaker
atlantic halibut,atlantic halibut
atlantic herring,atlantic herring
atlantic mackerel,atlantic mackerel
atlantic menhaden,atlantic menhaden
atlantic pollock,atlantic pollock
atlantic salmon,atlantic salmon
atlantic wolffish,atlantic wolffish
babaco,babaco
babassu palm,babassu palm
baked potato,baked potato
bakery products,bakery products
bamboo shoots,bamboo shoots
bantu beer,bantu beer
bartlett pear,bartlett pear
bayberry,bayberry
beans,beans
bearded seal,bearded seal
beaver,beaver
beef processed,beef processed
beefalo,beefalo
beli,beli
beluga whale,beluga whale
berry wine,berry wine
beverage alcolohic other,beverage alcolohic other
bilberry wine,bilberry wine
bitter cherry,bitter cherry
bittergourd,bittergourd
bivalvia,bivalvia
black bear,black bear
black crowberry,black crowberry
black huckleberry,black huckleberry
black mulberry,black mulberry
black salsify,black salsify
blackberry brandy,blackberry brandy
blue whiting,blue whiting
botrytized wine,botrytized wine
bottlegourd,bottlegourd
bourbon whisky,bourbon whisky
bowhead whale,bowhead whale
breadnut tree seed,breadnut tree seed
breakfast cereal,breakfast cereal
breakfast sandwich,breakfast sandwich
broad whitefish,broad whitefish
brown bear,brown bear
buchu,buchu
buffalo currant,buffalo currant
byrsonima crassifolia,byrsonima crassifolia
cajeput,cajeput
calamus,calamus
canada blueberry,canada blueberry
carp bream,carp bream
cascarilla,cascarilla
cashew apple,cashew apple
catjang pea,catjang pea
ceriman,ceriman
cetacea,cetacea
champaca,champaca
channel catfish,channel catfish
charr,charr
chewing gum,chewing gum
chinese bayberry,chinese bayberry
chinese chestnut,chinese chestnut
chinese quince,chinese quince
chinook salmon,chinook salmon
chum salmon,chum salmon
cichlidae,cichlidae
cisco,cisco
citronella,citronella
citrus fruits,citrus fruits
citrus peel oil,citrus peel oil
climbing bean,climbing bean
cloud ear fungus,cloud ear fungus
clupeinae,clupeinae
cluster bean,cluster bean
coffee mocha,coffee mocha
cognac brandy,cognac brandy
coho salmon,coho salmon
colorado pinyon,colorado pinyon
columbidae,columbidae
common carp,common carp
common dab,common dab
common ling,common ling
common octopus,common octopus
common persimmon,common persimmon
common salsify,common salsify
common tuna,common tuna
common verbena,common verbena
cooking oil,cooking oil
corn grits,corn grits
corn salad,corn salad
cornmint,cornmint
cottonseed,cottonseed
creosote,creosote
cucurbita,cucurbita
cupuau,cupuau
dairy products,dairy products
dates,dates
deerberry,deerberry
devilfish,devilfish
dock,dock
dolphin fish,dolphin fish
domiati cheese,domiati cheese
dragée,dragée
elliott's blueberry,elliott's blueberry
empanada,empanada
enokitake,enokitake
european anchovy,european anchovy
european chestnut,european chestnut
european rabbit,european rabbit
evening primrose,evening primrose
fatty fish,fatty fish
fermented tea,fermented tea
finnish whisky,finnish whisky
fir,fir
flatfish,flatfish
florida pompano,florida pompano
frankfurter sausage,frankfurter sausage
french plantain,french plantain
freshwater drum,freshwater drum
freshwater eel,freshwater eel
fried potato,fried potato
fruit gum,fruit gum
frybread,frybread
gadiformes,gadiformes
garcinia indica,garcinia indica
garden cress,garden cress
garland chrysanthemum,garland chrysanthemum
gelatin dessert,gelatin dessert
