index,ingredient
0,salt
1,garlic
2,pepper
3,onion
4,olive oil
5,sugar
6,butter
7,vinegar
8,water
9,lemon juice
10,tomato
11,parsley
12,cilantro
13,oil
14,soy sauce
15,basil
16,ginger
17,cream
18,egg
19,mayonnaise
20,lime juice
21,mustard
22,flour
23,milk
24,oregano
25,honey
26,shallot
27,garlic powder
28,ketchup
29,wine
30,parmesan cheese
31,jalapeno
32,green onion
33,cumin
34,lemon
35,sour cream
36,thyme
37,carrot
38,chicken breast
39,broth
40,lime
41,celery
42,cornstarch
43,paprika
44,cinnamon
45,scallion
46,sesame oil
47,cayenne pepper
48,yogurt
49,orange juice
50,mushroom
51,tomato paste
52,salsa
53,beef
54,chili powder
55,chicken
56,avocado
57,worcestershire sauce
58,green pepper
59,red pepper
60,bay leaf
61,jalapeno pepper
62,onion powder
63,cucumber
64,chive
65,cider vinegar
66,mint
67,dijon mustard
68,dill
69,chicken stock
70,corn
71,nutmeg
72,shrimp
73,caper
74,canola oil
75,egg yolk
76,mango
77,vanilla
78,horseradish
79,cream cheese
80,sesame seed
81,rosemary
82,bacon
83,white pepper
84,salmon
85,black pepper
86,sake
87,lettuce
88,coriander
89,tarragon
90,cheddar cheese
91,apple
92,mirin
93,spinach
94,cranberry
95,cheese
96,white wine
97,plum tomato
98,pineapple
99,clove
100,pasta
101,buttermilk
102,rice
103,tomatillo
104,hot sauce
105,black bean
106,bread
107,peanut butter
108,applesauce
109,olive
110,diced tomato
111,bell pepper
112,pepper flakes
113,walnut
114,potato
115,anchovy
116,chili sauce
117,strawberry
118,orange
119,sherry
120,broccoli
121,sauce
122,sage
123,lemon zest
124,crushed red pepper
125,garlic salt
126,tortilla
127,fish sauce
128,zucchini
129,hot pepper sauce
130,vanilla extract
131,chili pepper
132,baking powder
133,leek
134,asparagus
135,blue cheese
136,almond
137,tofu
138,chocolate
139,cabbage
140,raisin
141,pork
142,cayenne
143,curry powder
144,baking soda
145,maple syrup
146,serrano chile
147,crushed tomato
148,molasses
149,peanut oil
150,margarine
151,corn syrup
152,mozzarella cheese
153,brown sugar
154,allspice
155,coconut milk
156,barbecue sauce
157,spaghetti
158,pecan
159,green chili
160,rice vinegar
161,oyster sauce
162,eggplant
163,italian seasoning
164,potato starch
165,raspberry
166,bean
167,pine nut
168,egg white
169,miso
170,ham
171,celery seed
172,dressing
173,cocoa
174,zest
175,tuna
176,breadcrumb
177,pork tenderloin
178,feta cheese
179,pineapple juice
180,linguine
181,evaporated milk
182,peach
183,beef broth
184,tomato puree
185,turmeric
186,pork chop
187,liquid smoke
188,scallop
189,ramen noodle
190,brandy
191,marjoram
192,cumin seed
193,banana
194,blueberry
195,rum
196,chicken thigh
197,bread crumb
198,peanut
199,pear
200,coriander seed
201,crushed red pepper flake
202,canned tomato
203,turkey
204,apple juice
205,dashi
206,beer
207,chicken bouillon
208,pea
209,clam
210,peppercorn
211,cinnamon stick
